年份,季度,完整季度标识,帖子数量,热词_1,热词_2,热词_3,热词_4,热词_5,热词_6,热词_7,热词_8,热词_9,热词_10,热词_11,热词_12,热词_13,热词_14,热词_15,热词_16,热词_17,热词_18,热词_19,热词_20
2020,Q2,2020Q2,42,风味 (20),luckin (16),瑞纳冰 (14),瑞幸 (13),好喝 (12),系列 (12),桃子 (12),草莓 (11),清新 (11),夏天 (10),一口 (10),新品 (9),陨石 (9),寒天 (9),经典 (9),你好 (8),桃桃 (8),湿巾 (7),搭配 (7),套餐 (7)
2020,Q3,2020Q3,36,咖啡 (85),瑞幸 (76),风味 (40),品牌 (36),luckincoffee (31),瑞纳冰 (22),下午茶 (20),小鹿 (18),巧克力 (17),冰萃 (17),乳拿铁 (16),陨石 (16),惊喜 (16),大福 (16),经典 (14),luckin (14),美式 (14),口感 (13),新品 (13),芝士 (13)
2020,Q4,2020Q4,48,咖啡 (172),瑞幸 (145),luckin (83),圣诞 (75),乳拿铁 (65),品牌 (55),luckincoffee (50),风味 (49),限定 (36),姜饼 (35),小尾巴 (34),奶茶 (32),coffee (29),小鹿 (27),还有 (25),芋泥 (25),饮品 (24),陨石 (24),一起 (23),耶加雪菲 (22)
2021,Q1,2021Q1,40,瑞幸 (158),咖啡 (138),樱花 (61),品牌 (58),樱花季 (55),luckin (40),luckincoffee (40),风味 (38),限定 (35),春日 (33),小鹿 (22),燕麦 (21),金奖 (21),咖啡豆 (20),LINE (20),参与 (18),FRIENDS (17),IIAC (16),吸管 (16),材质 (16)
2021,Q2,2021Q2,36,瑞幸 (114),咖啡 (93),瑞纳冰 (62),夏日 (53),杨枝 (43),甘露 (43),luckincoffee (36),品牌 (36),风味 (32),打卡 (31),芒果 (29),牛油果 (28),系列 (28),酸奶 (25),新品 (23),芝士 (23),桃桃 (23),云南 (22),哈斯 (21),杨梅 (21)
2021,Q3,2021Q3,43,瑞幸 (156),咖啡 (82),瑞纳冰 (55),新品 (47),葡萄 (40),系列 (39),芝士 (36),丝绒 (31),一口 (27),桂花 (27),打卡 (26),陨石 (26),夏日 (24),一杯 (23),乳拿铁 (23),好喝 (21),半熟 (20),杨梅 (17),车厘子 (17),酸奶 (16)
2021,Q4,2021Q4,51,瑞幸 (214),咖啡 (103),圣诞 (73),新品 (45),奶茶 (41),种草 (39),口感 (36),奶油 (32),热饮 (32),一杯 (26),丝绒 (22),一口 (21),中奖 (20),乳拿铁 (20),一起 (20),芝士 (19),糊糊 (18),摩卡 (18),参与 (17),打卡 (17)
2022,Q1,2022Q1,81,瑞幸 (280),咖啡 (150),新品 (65),谷爱凌 (47),樱花季 (42),种草 (35),草莓 (27),饮品 (25),樱花 (23),打卡 (20),口感 (17),虎年 (16),丝绒 (15),点亮 (14),勋章 (14),dirty (14),壁纸 (13),一杯 (13),还有 (13),冰雪 (13)
2022,Q2,2022Q2,108,瑞幸 (368),咖啡 (180),新品 (77),椰云 (55),夏日 (34),瑞纳冰 (32),咖季 (20),联名 (19),椰树 (18),鹿卡龙 (17),风味 (17),气泡 (17),谷爱凌 (17),芝士 (16),云南 (16),一杯 (16),种草 (16),系列 (16),口感 (15),一口 (15)
2022,Q3,2022Q3,108,瑞幸 (414),咖啡 (179),新品 (82),纸袋 (50),七夕 (47),限定 (38),丝绒 (31),甜品 (25),联名 (25),冰萃 (24),喜欢 (23),悲伤 (23),口感 (22),芝士 (20),种草 (19),瑞纳冰 (19),海盐 (18),DIY (17),一口 (17),打工 (17)
2022,Q4,2022Q4,99,瑞幸 (456),咖啡 (167),圣诞 (97),生酪 (70),纸袋 (62),新品 (60),种草 (31),DIY (28),限定 (25),dirty (23),太妃 (22),乳拿铁 (21),甜品 (20),一起 (19),手工 (19),香厚 (19),JOJO (19),人们 (18),芝士 (17),改造 (17)
2023,Q1,2023Q1,99,瑞幸 (393),咖啡 (160),纸袋 (54),线条 (52),小狗 (51),联名 (49),新品 (34),限定 (32),春日 (31),碧螺 (30),知春拿铁 (28),情人节 (28),美式 (25),新年 (25),一起 (24),口感 (24),樱花 (22),玫瑰 (21),艾特 (17),茉莉 (17)
2023,Q2,2023Q2,153,瑞幸 (430),咖啡 (216),纸袋 (88),万店 (62),周周 (49),椰拿铁 (47),一起 (46),美式 (43),门店 (38),冰吸生 (38),夏日 (35),冰萃 (34),葡萄 (33),教程 (32),西瓜 (32),人们 (31),瑞门 (29),一杯 (28),改造 (28),椰青冰萃 (28)
2023,Q3,2023Q3,152,瑞幸 (493),咖啡 (224),联名 (112),小狗 (97),线条 (96),七夕 (85),纸袋 (67),新品 (59),一起 (39),酱香 (34),一杯 (32),茅台 (32),贵州 (30),修狗 (30),改造 (27),幸运 (27),美式 (26),周周 (26),瓦尔登 (24),瑞子 (23)
2023,Q4,2023Q4,169,瑞幸 (470),咖啡 (204),圣诞 (98),联名 (72),猫和老鼠 (61),新品 (49),美式 (41),椰拿铁 (40),小瑞 (39),酱香 (39),TOM (37),JERRY (36),纸袋 (35),马斯卡 (31),红酒 (31),冬天 (29),一起 (27),周边 (27),彭生酪 (27),千玺 (26)
2024,Q1,2024Q1,147,瑞幸 (565),咖啡 (276),联名 (146),新品 (75),周边 (56),纸袋 (44),小瑞 (43),龙年 (40),美式 (40),门店 (38),酱香 (34),限定 (32),澳网 (32),春日 (29),一杯 (28),改造 (28),小狗 (28),新年 (28),茅台 (27),春天 (26)
2024,Q2,2024Q2,176,瑞幸 (425),联名 (164),咖啡 (159),美式 (75),周边 (70),新品 (63),小瑞 (62),LABUBU (57),纸袋 (46),这杯 (43),瑞门 (42),杨梅 (41),生椰拿铁 (32),玫瑰 (32),快乐 (32),猛兽 (31),瑞纳冰 (31),西瓜 (31),夏天 (30),柠檬茶 (28)
2024,Q3,2024Q3,217,瑞幸 (481),咖啡 (191),轻轻 (169),茉莉 (147),联名 (119),美式 (80),周边 (77),柠檬茶 (74),浓缩 (63),新品 (61),一起 (56),葡萄 (55),神话 (55),冰摇 (49),小瑞 (46),下午茶 (45),赞萌露 (44),黄油 (43),下午 (41),冰萃 (40)
2024,Q4,2024Q4,233,瑞幸 (458),咖啡 (238),联名 (159),黄油 (98),周边 (89),美式 (75),新品 (66),原神 (60),小熊 (57),限定 (54),千玺 (54),费尔岛 (50),猫和老鼠 (44),Pingu (40),一起 (39),轻乳茶 (39),联动 (35),生酪 (35),活动 (32),小瑞 (30)
2025,Q1,2025Q1,248,瑞幸 (500),咖啡 (328),联名 (134),小狗 (95),黄油 (94),茉莉 (92),一起 (88),线条 (88),轻轻 (85),鲜萃 (79),周边 (74),新品 (62),小熊 (61),春日 (48),新年 (48),春天 (47),封神 (44),还有 (43),轻乳茶 (43),刘亦菲 (42)
2025,Q2,2025Q2,239,瑞幸 (657),咖啡 (311),联名 (147),荔枝 (109),海绵 (89),新品 (88),宝宝 (87),美式 (84),长安 (70),一起 (62),果蔬 (61),周边 (60),快乐 (60),成都 (57),柠檬茶 (52),主题 (46),巴西 (38),生椰拿铁 (38),非遗 (37),深烘 (34)
2025,Q3,2025Q3,221,瑞幸 (566),咖啡 (280),联名 (165),邻国 (88),lucky (74),新品 (69),原产地 (56),一起 (55),周边 (54),苹果 (51),铁道 (51),星穹 (49),美式 (46),荔枝 (46),浪浪山 (41),长安 (37),小妖怪 (35),幸运 (33),千玺 (33),秋天 (33)
2025,Q4,2025Q4,152,瑞幸 (391),咖啡 (196),联名 (127),疯狂 (85),王者 (76),动物 (74),荣耀 (70),之刃 (62),鬼灭 (61),获得 (48),周边 (43),新品 (43),原产地 (38),主题 (35),纸袋 (35),上线 (33),欢迎 (27),一起 (26),美式 (26),十周年 (26)
